	   m  magnetic_sus		 magnetic_sus_error       heat_cap		     heat_cap_error
           1  0.38553019502618469        1.3884062545064149E-002  0.72462468535650082        2.6918996733155637E-002
           2  0.24564792389103474        1.5673238996928848E-002  0.40109023366596830        2.8322938680405037E-002
           4  0.15161079851000459        1.7413349927234988E-002  0.21821038137304072        2.9544043161732991E-002
           8   8.8250059693262273E-002   1.8788405480603450E-002  0.11539613034128315        3.0383866909067053E-002
          16   4.8569960214295271E-002   1.9712043282383063E-002   5.9636736642332266E-002   3.0890128246949942E-002
          32   2.5605856962540585E-002   2.0241054040661639E-002   3.0355701886586317E-002   3.1167259502340425E-002
          64   1.3154437154550003E-002   2.0517067647369623E-002   1.5296694627631169E-002   3.1289092897228157E-002
         128   6.6586250202504971E-003   2.0643713013285506E-002   7.6877847188239201E-003   3.1369757065405970E-002
         256   3.3336237431624838E-003   2.0657207272828954E-002   3.8326638795993517E-003   3.1324105741548411E-002
         512   1.6906968008933987E-003   2.0804953379253994E-002   1.9458982269959790E-003   3.1565229063125443E-002
        1024   8.4431752422897688E-004   2.0793328721183345E-002   9.6387152703769630E-004   3.1419241588488758E-002
        2048   4.2526649313145981E-004   2.0871861363564028E-002   4.7839768702040431E-004   3.1306906619688026E-002
        4096   2.0489082042107754E-004   2.0490442390103385E-002   2.2983819403243899E-004   3.0691365459775442E-002
        8192   1.0166269881484169E-004   2.0420386053607690E-002   1.1607848238170959E-004   3.0858443974246162E-002
