	   m  magnetic_sus		 magnetic_sus_error       heat_cap		     heat_cap_error  
           1   4.9781176915195875        4.7568935621155349E-002   1.4154545545496671        3.7622722048700562E-002
           2   4.5776501959360338        6.4510019642055369E-002  0.99278252330320715        4.4559907749392891E-002
           4   4.1658375005708272        8.7030619748307808E-002  0.71019721888328258        5.3299328336793579E-002
           8   3.6763262346498320       0.11562270004894731       0.50368499365472652        6.3478540586987986E-002
          16   3.0858438620692565       0.14980917222935355       0.34584771860682384        7.4388401880782343E-002
          32   2.4162259759773583       0.18747177770611667       0.22568077011307927        8.4981763872392826E-002
          64   1.7389135262714137       0.22491675480327888       0.13865587440835142        9.4202687671959343E-002
         128   1.1460499774467774       0.25822660290194710        8.0126953723114638E-002  0.10127444223140772     
         256  0.69094420106749233       0.28355575689117735        4.3894742126654222E-002  0.10600700691888834     
         512  0.38942872907762627       0.30105894237374281        2.3114758099309612E-002  0.10879114695738289     
        1024  0.20104786559146681       0.30593171942988212        1.1772891268836396E-002  0.10980640729242372     
        2048  0.10154086317124757       0.30750676977188840        5.9670029239074157E-003  0.11056654057825978     
        4096   5.1510604897659296E-002  0.30977193698313238        2.9299344713492447E-003  0.10958069233587488     
        8192   2.5542168663461592E-002  0.30861404795024550        1.3917783968467850E-003  0.10685213188689480     
