	   m  magnetic_sus		 magnetic_sus_error       heat_cap		     heat_cap_error   
           1   1477.1400755896714       0.80139958953967305        2.3554082503669185        4.8532793957232596E-002
           2   1476.5100512674435        1.1331085031202706        1.9487710513537140        6.2430616486298142E-002
           4   1475.7204654936186        1.6020290466593046        1.6685448470818984        8.1696075643193547E-002
           8   1474.5028837275122        2.2646772672233801        1.4478962326894480       0.10762573861289422     
          16   1472.4836109614325        3.2005461044806656        1.2556115227580209       0.14173934352816173     
          32   1469.0894070436664        4.5210432237438569        1.0780516655764365       0.18573692490908841     
          64   1463.4233099975600        6.3813890449505237       0.90643358531452589       0.24085859608879609     
         128   1454.0982086145636        8.9958767273064897       0.73614202763521530       0.30696676008534318     
         256   1438.5971626391974        12.654179858746311       0.56457163853413406       0.38017876010418666     
         512   1413.7063474858305        17.740447242135488       0.39804280440071332       0.45145427203148369     
        1024   1370.9876682700792        24.708078407077505       0.24808186241687044       0.50406160899252273     
        2048   1293.2298949672168        33.940602375425556       0.13780304087495571       0.53134304075997296     
        4096   1167.6198546357778        45.613343171266870        7.2485931901611650E-002  0.54504448568459007     
        8192   961.10827749729174        58.549122160253710        3.7778510209659624E-002  0.55669915351600652     
